,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
842,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,20,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
843,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,24,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.9044866264020708,0.26597148221444156,-1.5917169974115617,0.9978329408248638,RSR,3.997117555651034e-05,0.0
844,reckoner_SRR1543971_raw_16.corrected.fastq.gz,run.reckoner.sh,16,1897,41791,2871,7,51,83,26,46700,3629,11101886,4464,122,3484,1913,137,4,11115639,Reckoner,NA,100,0.4484122080810577,0.40206071349434963,-0.21846039787470653,0.9990895706812971,RSR,1.2684830804598817e-05,0.029197080291970802
845,reckoner_SRR1543971_raw_28.corrected.fastq.gz,run.reckoner.sh,28,2031,41792,2799,10,24,44,9,46700,3634,11104055,4506,83,1853,911,54,0,11115096,Reckoner,NA,100,0.44643734643734645,0.5679899968740232,0.10687960687960688,0.9993336089944702,RSR,4.858257634481969e-06,0.0
846,reckoner_SRR1543971_raw_14.corrected.fastq.gz,run.reckoner.sh,14,1800,41790,2920,7,77,106,23,46700,3460,11100270,4608,140,4804,2461,197,11,11115951,Reckoner,NA,100,0.428854734754586,0.3226107226107226,-0.4716162617749132,0.998901577374473,RSR,1.871184930556099e-05,0.05583756345177665
847,reckoner_SRR1543971_raw_18.corrected.fastq.gz,run.reckoner.sh,18,1951,41792,2848,6,41,62,18,46700,3602,11102828,4526,86,2766,1473,123,5,11115409,Reckoner,NA,100,0.4431594488188976,0.4593801810993496,-0.07837106299212598,0.9991926519270015,RSR,1.15155456717787e-05,0.04065040650406504
848,reckoner_SRR1543971_raw_21.corrected.fastq.gz,run.reckoner.sh,21,2008,41792,2820,4,26,50,18,46700,3668,11103734,4470,75,2022,1175,101,6,11115251,Reckoner,NA,100,0.45072499385598425,0.5343044428259286,0.0578766281641681,0.9992943925212625,RSR,9.626413294670538e-06,0.0594059405940594
849,reckoner_SRR1543971_raw_26.corrected.fastq.gz,run.reckoner.sh,26,2031,41792,2797,6,29,45,16,46700,3684,11103747,4445,91,1978,1251,83,3,11115282,Reckoner,NA,100,0.45319227457251815,0.5329090120063649,0.055972444335096565,0.9992939448483479,RSR,7.737095649035264e-06,0.03614457831325301
850,reckoner_SRR1543971_raw_20.corrected.fastq.gz,run.reckoner.sh,20,1989,41792,2835,5,32,47,15,46700,3676,11103789,4450,89,2017,1095,83,4,11115203,Reckoner,NA,100,0.45237509229633277,0.5415439010017679,0.06940684223480187,0.9993041959932522,RSR,7.827117507435536e-06,0.04819277108433735
851,reckoner_SRR1543971_raw_22.corrected.fastq.gz,run.reckoner.sh,22,2025,41792,2807,6,24,46,16,46700,3711,11103915,4426,79,1868,1105,119,3,11115226,Reckoner,NA,100,0.4560648887796485,0.5552064631956912,0.09069681700872557,0.9993165229343577,RSR,1.0975935172168339e-05,0.025210084033613446
852,reckoner_SRR1543971_raw_24.corrected.fastq.gz,run.reckoner.sh,24,2027,41792,2806,6,23,46,13,46700,3677,11103746,4464,76,2076,1062,84,2,11115187,Reckoner,NA,100,0.4516644146910699,0.539545121056493,0.06620808254514188,0.9993016760404797,RSR,7.737161776945363e-06,0.023809523809523808
