,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,hap
101,lighter_mix_2_err_rate_1_20.corrected.fastq,lighter,20,1154,3850,194201,3601,36400,115,127,239321,139854,47182361,2125605,7308,60051,127,98,10814,49526218,Lighter,NA,100,0.061733185,0.699158135,0.035169915,0.955706935,IGH,0.000220328,110.3469388,2
102,lighter_mix_2_err_rate_1_22.corrected.fastq,lighter,22,1184,3740,194271,2792,37219,115,135,239321,129893,47178391,2134429,7380,63929,152,114,11914,49526202,Lighter,NA,100,0.057365074,0.669641292,0.029064771,0.955447123,IGH,0.000242861,104.5087719,2
103,lighter_mix_2_err_rate_1_24.corrected.fastq,lighter,24,1128,3726,195571,3053,35729,114,130,239321,126618,47182737,2138478,6623,59660,132,108,11863,49526219,Lighter,NA,100,0.055899617,0.679244676,0.029502502,0.955467441,IGH,0.00024171,109.8425926,2
104,lighter_mix_2_err_rate_1_26.corrected.fastq,lighter,26,1115,3692,192833,3004,38570,107,129,239321,134488,47180067,2129538,7167,62478,117,109,12256,49526220,Lighter,NA,100,0.059402145,0.682392697,0.031754494,0.955580026,IGH,0.000249666,112.440367,2
105,lighter_mix_2_err_rate_1_28.corrected.fastq,lighter,28,1052,3794,195347,2650,36367,111,130,239321,133725,47178065,2131412,6206,64324,125,108,12255,49526220,Lighter,NA,100,0.059036164,0.674785794,0.030583581,0.955524164,IGH,0.000249625,113.4722222,2
106,lighter_mix_2_err_rate_1_30.corrected.fastq,lighter,30,1026,3708,194750,2275,37453,109,127,239321,127008,47180098,2138989,5252,62360,149,107,12254,49526217,Lighter,NA,100,0.056049501,0.670166792,0.028463851,0.955429603,IGH,0.000249585,114.5233645,2
107,lighter_mix_3_err_rate_1_20.corrected.fastq,lighter,20,1473,5075,369394,4417,48286,274,234,428919,202325,85787486,4029468,11277,83846,297,200,25449,90140348,Lighter,NA,100,0.047810703,0.706274348,0.027927169,0.954224129,IGH,0.000284545,127.245,3
108,lighter_mix_3_err_rate_1_22.corrected.fastq,lighter,22,1488,5414,370644,4810,46251,312,236,428919,202757,85793359,4030880,8466,78941,379,201,25372,90140355,Lighter,NA,100,0.047891919,0.718800186,0.029156255,0.954293206,IGH,0.000283702,126.2288557,3
109,lighter_mix_3_err_rate_1_24.corrected.fastq,lighter,24,1351,5131,368620,4777,48722,318,230,428919,188312,85784398,4047213,8017,86234,396,198,25575,90140343,Lighter,NA,100,0.044460132,0.684915364,0.024006941,0.954035747,IGH,0.000285921,129.1666667,3
110,lighter_mix_3_err_rate_1_26.corrected.fastq,lighter,26,1325,5019,364423,4499,53322,331,221,428919,194546,85777958,4039469,7641,93288,384,191,26873,90140350,Lighter,NA,100,0.045948349,0.67499601,0.023824668,0.954047129,IGH,0.000300243,140.6963351,3
111,lighter_mix_3_err_rate_1_28.corrected.fastq,lighter,28,1375,5270,368477,4287,49142,368,220,428919,196105,85787915,4038096,7090,84024,419,196,26483,90140328,Lighter,NA,100,0.046314523,0.699006944,0.026371445,0.954171027,IGH,0.000295972,135.1173469,3
112,lighter_mix_3_err_rate_1_30.corrected.fastq,lighter,30,1206,5038,361418,4420,56458,379,209,428919,189015,85774342,4038978,13012,97599,548,178,26669,90140341,Lighter,NA,100,0.044705609,0.658217313,0.021491994,0.953943559,IGH,0.000297836,149.8258427,3
113,lighter_mix_4_err_rate_1_20.corrected.fastq,lighter,20,1598,7549,553300,6965,60170,561,321,630143,248842,126440753,5784787,15202,96790,728,259,32746,132620107,Lighter,NA,100,0.041242509,0.718449013,0.025080097,0.955517887,IGH,0.000248869,126.4324324,4
114,lighter_mix_4_err_rate_1_22.corrected.fastq,lighter,22,1624,7599,550930,5983,63333,674,321,630143,246571,126423126,5788236,12763,114640,827,265,33699,132620127,Lighter,NA,100,0.040858142,0.681063866,0.021724638,0.955374535,IGH,0.0002561,127.1660377,4
115,lighter_mix_4_err_rate_1_24.corrected.fastq,lighter,24,1409,7382,555562,5288,59883,619,322,630143,230448,126435461,5808763,9839,101996,808,278,32473,132620066,Lighter,NA,100,0.038158627,0.691512729,0.021135874,0.955337571,IGH,0.000246954,116.8093525,4
116,lighter_mix_4_err_rate_1_26.corrected.fastq,lighter,26,1523,7701,551835,7857,60437,790,302,630143,234248,126429144,5799845,14402,108488,1097,247,32619,132620090,Lighter,NA,100,0.038820747,0.681284228,0.020659774,0.955319466,IGH,0.000247821,132.0607287,4
117,lighter_mix_4_err_rate_1_28.corrected.fastq,lighter,28,1526,7372,549692,5497,65303,753,302,630143,228562,126435357,5809200,11509,102617,962,255,31654,132620116,Lighter,NA,100,0.037855417,0.688147504,0.02070022,0.9553163,IGH,0.000240605,124.1333333,4
118,lighter_mix_4_err_rate_1_30.corrected.fastq,lighter,30,1412,7408,549673,7496,63202,952,302,630143,236078,126433123,5799374,12391,104988,1389,259,32511,132620113,Lighter,NA,100,0.039115215,0.689369406,0.021489857,0.955362335,IGH,0.000247097,125.5250965,4
119,lighter_mix_5_err_rate_1_20.corrected.fastq,lighter,20,7656,28229,585035,8199,76390,673,344,706182,324506,142648037,5882573,19311,198721,844,302,32786,149107080,Lighter,NA,100,0.052279985,0.61920236,0.020128792,0.95906906,IGH,0.000221908,108.5629139,5
120,lighter_mix_5_err_rate_1_22.corrected.fastq,lighter,22,7191,26578,595599,7520,68502,792,360,706182,301449,142679819,5910414,14097,166365,989,312,33683,149107128,Lighter,NA,100,0.048527954,0.643018496,0.021586922,0.95913305,IGH,0.00022799,107.9583333,5
121,lighter_mix_5_err_rate_1_24.corrected.fastq,lighter,24,7662,28380,590152,8641,70484,863,352,706182,279462,142689967,5932972,16943,154289,1252,310,31902,149107097,Lighter,NA,100,0.044984301,0.642436949,0.019947254,0.959042375,IGH,0.000216033,102.9096774,5
122,lighter_mix_5_err_rate_1_26.corrected.fastq,lighter,26,8096,29476,584851,7504,75234,1021,326,706182,280709,142676994,5931714,14546,168891,1322,276,32606,149107058,Lighter,NA,100,0.045185107,0.622522299,0.017786297,0.958968496,IGH,0.000220526,118.1376812,5
123,lighter_mix_5_err_rate_1_28.corrected.fastq,lighter,28,7784,28048,582826,7896,78596,1032,311,706182,273301,142674436,5937468,17297,171118,1322,263,31925,149107130,Lighter,NA,100,0.044004374,0.613138572,0.016239696,0.9588968,IGH,0.000215872,121.3878327,5
124,lighter_mix_5_err_rate_1_30.corrected.fastq,lighter,30,7797,27816,578805,8829,81722,1213,330,706182,286852,142653070,5924791,15059,192785,1751,285,32519,149107112,Lighter,NA,100,0.046179731,0.595885232,0.014861768,0.958848313,IGH,0.000220003,114.1017544,5
125,musket_mix_1_err_rate_1_20.corrected.fastq,musket,20,296,3213,153453,191,324,4,19,157481,7906,30583272,1662311,228,461,5,10,10243,32264436,Musket,NA,100,0.004733517,0.94433827,0.004454511,0.948440347,IGH,0.00031778,1024.3,1
126,musket_mix_1_err_rate_1_22.corrected.fastq,musket,22,298,3214,153418,191,357,3,19,157481,7963,30583233,1662252,228,503,4,10,10243,32264436,Musket,NA,100,0.00476765,0.940141677,0.004464096,0.948440905,IGH,0.00031778,1024.3,1
127,musket_mix_1_err_rate_1_24.corrected.fastq,musket,24,290,3213,153354,196,424,4,19,157481,8026,30583137,1662180,239,596,5,10,10243,32264436,Musket,NA,100,0.004805395,0.930334995,0.004445559,0.948439882,IGH,0.00031778,1024.3,1
128,musket_mix_1_err_rate_1_26.corrected.fastq,musket,26,290,3215,153316,196,459,5,19,157481,8056,30583072,1662148,240,661,6,10,10243,32264436,Musket,NA,100,0.004823363,0.923535481,0.00442401,0.948438797,IGH,0.00031778,1024.3,1
129,musket_mix_1_err_rate_1_28.corrected.fastq,musket,28,289,3215,153315,198,459,5,19,157481,8062,30583091,1662412,237,643,6,10,9975,32264436,Musket,NA,100,0.004826175,0.925496499,0.004437663,0.948431691,IGH,0.000309474,997.5,1
130,musket_mix_1_err_rate_1_30.corrected.fastq,musket,30,289,3215,153315,198,459,5,19,157481,8062,30583091,1662412,237,643,6,10,9975,32264436,Musket,NA,100,0.004826175,0.925496499,0.004437663,0.948431691,IGH,0.000309474,997.5,1
131,musket_mix_2_err_rate_1_20.corrected.fastq,musket,20,426,5046,233273,249,324,3,39,239321,11381,47242491,2259311,291,477,4,26,12219,49526200,Musket,NA,100,0.005012128,0.959450346,0.004800299,0.954354125,IGH,0.000247243,469.9615385,2
132,musket_mix_2_err_rate_1_22.corrected.fastq,musket,22,429,5046,233225,250,367,4,40,239321,11488,47242443,2259204,291,523,5,27,12219,49526200,Musket,NA,100,0.005059251,0.956058589,0.004826722,0.954355316,IGH,0.000247263,452.5555556,2
133,musket_mix_2_err_rate_1_24.corrected.fastq,musket,24,422,5045,233155,247,446,6,40,239321,11513,47242341,2259186,294,613,7,27,12219,49526200,Musket,NA,100,0.005070245,0.948899695,0.004797201,0.954353761,IGH,0.000247263,452.5555556,2
134,musket_mix_2_err_rate_1_26.corrected.fastq,musket,26,430,5048,233100,250,486,7,41,239321,11585,47242272,2259111,297,680,8,28,12219,49526200,Musket,NA,100,0.00510196,0.943941986,0.004798969,0.954353822,IGH,0.000247283,436.3928571,2
135,musket_mix_2_err_rate_1_28.corrected.fastq,musket,28,432,5046,233081,252,503,7,41,239321,11634,47242273,2259063,293,682,8,28,12219,49526200,Musket,NA,100,0.005123537,0.944011685,0.004819666,0.954354832,IGH,0.000247283,436.3928571,2
136,musket_mix_2_err_rate_1_30.corrected.fastq,musket,30,432,5046,233081,252,503,7,41,239321,11634,47242273,2259063,293,682,8,28,12219,49526200,Musket,NA,100,0.005123537,0.944011685,0.004819666,0.954354832,IGH,0.000247283,436.3928571,2
137,musket_mix_3_err_rate_1_20.corrected.fastq,musket,20,746,7249,419534,460,920,10,75,428919,21870,85872169,4216720,529,1244,11,63,27720,90140326,Musket,NA,100,0.005159735,0.94572973,0.004863646,0.953185606,IGH,0.000308219,440,3
138,musket_mix_3_err_rate_1_22.corrected.fastq,musket,22,687,7257,419755,458,752,10,76,428919,20613,85872454,4217990,520,953,13,62,27721,90140326,Musket,NA,100,0.004863159,0.955234256,0.004635254,0.953174831,IGH,0.000308219,447.1129032,3
139,musket_mix_3_err_rate_1_24.corrected.fastq,musket,24,695,7255,419629,458,873,9,76,428919,20751,85872279,4217849,532,1108,10,62,27734,90140325,Musket,NA,100,0.00489572,0.948877406,0.004631954,0.953174568,IGH,0.000308364,447.3225806,3
140,musket_mix_3_err_rate_1_26.corrected.fastq,musket,26,706,7261,419495,458,989,10,77,428919,20802,85872131,4217798,537,1248,11,64,27734,90140325,Musket,NA,100,0.004907753,0.942930964,0.004610721,0.953173492,IGH,0.000308386,433.34375,3
141,musket_mix_3_err_rate_1_28.corrected.fastq,musket,28,702,7261,419449,458,1039,10,77,428919,20827,85872067,4217782,529,1324,11,64,27721,90140325,Musket,NA,100,0.00491364,0.939761754,0.004598678,0.953172921,IGH,0.000308242,433.140625,3
142,musket_mix_3_err_rate_1_30.corrected.fastq,musket,30,702,7261,419449,458,1039,10,77,428919,20827,85872067,4217782,529,1324,11,64,27721,90140325,Musket,NA,100,0.00491364,0.939761754,0.004598678,0.953172921,IGH,0.000308242,433.140625,3
143,musket_mix_4_err_rate_1_20.corrected.fastq,musket,20,1034,10401,617001,675,1012,20,104,630143,30918,126539432,6013831,762,1389,25,86,33642,132620085,Musket,NA,100,0.005114853,0.956266238,0.004880931,0.954625127,IGH,0.00025432,391.1860465,4
144,musket_mix_4_err_rate_1_22.corrected.fastq,musket,22,1061,10401,616642,675,1346,18,107,630143,31418,126538880,6013346,761,1919,24,89,33646,132620083,Musket,NA,100,0.005197556,0.941758341,0.004876121,0.954624778,IGH,0.000254373,378.0449438,4
145,musket_mix_4_err_rate_1_24.corrected.fastq,musket,24,1076,10401,616375,672,1600,19,107,630143,31548,126538562,6012951,765,2216,25,89,33927,132620083,Musket,NA,100,0.005219291,0.93367664,0.004848541,0.954625383,IGH,0.000256492,381.2022472,4
146,musket_mix_4_err_rate_1_26.corrected.fastq,musket,26,1084,10404,616067,681,1886,21,107,630143,31720,126538181,6012768,782,2588,26,89,33927,132620081,Musket,NA,100,0.005247756,0.923865556,0.004815296,0.954623821,IGH,0.000256492,381.2022472,4
147,musket_mix_4_err_rate_1_28.corrected.fastq,musket,28,1083,10404,615943,689,2002,22,107,630143,31757,126538072,6012992,791,2706,28,89,33646,132620081,Musket,NA,100,0.005253651,0.920732945,0.004801357,0.954621255,IGH,0.000254373,378.0449438,4
148,musket_mix_4_err_rate_1_30.corrected.fastq,musket,30,1083,10404,615943,689,2002,22,107,630143,31757,126538072,6012992,791,2706,28,89,33646,132620081,Musket,NA,100,0.005253651,0.920732945,0.004801357,0.954621255,IGH,0.000254373,378.0449438,4
149,musket_mix_5_err_rate_1_20.corrected.fastq,musket,20,2099,38774,663826,686,777,20,109,706182,33540,142848712,6189359,775,937,25,80,33643,149107071,Musket,NA,100,0.005389771,0.972117558,0.005235181,0.95846895,IGH,0.000226166,420.5375,5
150,musket_mix_5_err_rate_1_22.corrected.fastq,musket,22,2314,38774,663190,714,1170,20,121,706182,35578,142848179,6187295,810,1434,25,104,33647,149107072,Musket,NA,100,0.005717295,0.960606961,0.005482837,0.958479065,IGH,0.000226354,323.5288462,5
151,musket_mix_5_err_rate_1_24.corrected.fastq,musket,24,2190,38774,663361,684,1146,27,110,706182,34153,142848206,6188757,780,1403,33,83,33656,149107071,Musket,NA,100,0.005488268,0.959650454,0.005257508,0.958469751,IGH,0.000226274,405.4939759,5
152,musket_mix_5_err_rate_1_26.corrected.fastq,musket,26,2166,38774,663340,668,1203,31,112,706182,33711,142848117,6189219,766,1475,38,87,33656,149107069,Musket,NA,100,0.005417223,0.957046332,0.00517409,0.958466202,IGH,0.0002263,386.8505747,5
153,musket_mix_5_err_rate_1_28.corrected.fastq,musket,28,2176,38774,663217,679,1302,34,112,706182,33869,142847963,6189057,773,1634,43,87,33643,149107069,Musket,NA,100,0.005442617,0.952821696,0.005173129,0.958466145,IGH,0.000226213,386.7011494,5
154,musket_mix_5_err_rate_1_30.corrected.fastq,musket,30,2176,38774,663217,679,1302,34,112,706182,33869,142847963,6189057,773,1634,43,87,33643,149107069,Musket,NA,100,0.005442617,0.952821696,0.005173129,0.958466145,IGH,0.000226213,386.7011494,5
155,racer_mix_1_err_rate_1_9181.corrected.fastq,racer,9181,834,2521,94371,2219,54973,2563,2205,157481,125995,30439495,1533088,10756,135739,21248,4919,11243,32282483,Racer,NA,100,0.075942554,0.445240333,-0.018680199,0.947143339,IGH,0.000500643,2.28562716,1
156,racer_mix_2_err_rate_1_9181.corrected.fastq,racer,9181,1587,3632,150703,3286,76298,3815,3466,239321,215244,47050706,2039132,15821,179695,31963,8254,13657,49554472,Racer,NA,100,0.095478305,0.504200027,0.001590684,0.954080994,IGH,0.00044216,1.654591713,2
157,racer_mix_3_err_rate_1_9181.corrected.fastq,racer,9181,2454,4861,282486,6448,125962,6708,6461,428919,349544,85558236,3863129,25589,288810,43914,20716,29719,90179657,Racer,NA,100,0.082974397,0.512326534,0.003992714,0.952943307,IGH,0.000559272,1.43459162,3
158,racer_mix_4_err_rate_1_9181.corrected.fastq,racer,9181,3384,6845,421599,8943,180333,9039,8860,630143,510936,126106705,5498479,33869,401526,60497,25640,37415,132675067,Racer,NA,100,0.085022585,0.525136208,0.008139395,0.954613106,IGH,0.000475259,1.45924337,4
159,racer_mix_5_err_rate_1_9181.corrected.fastq,racer,9181,39681,35158,431839,9125,179944,10435,10384,706182,629950,142403610,5556421,34774,402294,70235,35776,37859,149170919,Racer,NA,100,0.101828681,0.571394104,0.025446421,0.959100283,IGH,0.000493628,1.05822339,5
160,reckoner_mix_1_err_rate_1_20.corrected.fastq,reckoner,20,286,3221,151823,832,1068,251,419,157481,28985,30580293,1640895,1273,2439,934,741,9632,32265192,Reckoner,NA,100,0.017357535,0.895759936,0.015337629,0.948961295,IGH,0.000321492,12.99865047,1
161,reckoner_mix_1_err_rate_1_22.corrected.fastq,reckoner,22,295,3221,151743,840,1145,237,429,157481,29306,30580307,1640454,1260,2421,909,727,9775,32265159,Reckoner,NA,100,0.017551025,0.897965437,0.015556727,0.948976859,IGH,0.00032549,13.44566713,1
162,reckoner_mix_1_err_rate_1_24.corrected.fastq,reckoner,24,301,3221,151715,837,1167,240,421,157481,29479,30580317,1640305,1239,2443,901,696,9776,32265156,Reckoner,NA,100,0.017654379,0.898120221,0.015651725,0.94898265,IGH,0.000324561,14.04597701,1
163,reckoner_mix_1_err_rate_1_26.corrected.fastq,reckoner,26,301,3218,151664,840,1218,240,437,157481,29745,30580345,1639282,1259,2447,835,722,10465,32265100,Reckoner,NA,100,0.017821761,0.90062676,0.015855346,0.949013684,IGH,0.000346721,14.49445983,1
164,reckoner_mix_1_err_rate_1_28.corrected.fastq,reckoner,28,310,3218,151610,852,1262,229,440,157481,30103,30580343,1638897,1288,2406,883,795,10466,32265181,Reckoner,NA,100,0.018036549,0.901503354,0.016065908,0.949022368,IGH,0.000349014,13.16477987,1
165,reckoner_mix_1_err_rate_1_30.corrected.fastq,reckoner,30,317,3219,151516,860,1334,235,456,157481,30542,30580164,1638618,1276,2529,897,835,10334,32265195,Reckoner,NA,100,0.018297826,0.899140367,0.016245297,0.949026133,IGH,0.000346162,12.3760479,1
166,reckoner_mix_2_err_rate_1_20.corrected.fastq,reckoner,20,402,5051,230795,1181,1523,369,531,239321,40798,47238017,2228903,1748,3628,1307,902,11875,49527178,Reckoner,NA,100,0.017975055,0.89209105,0.01580076,0.954832388,IGH,0.00025798,13.16518847,2
167,reckoner_mix_2_err_rate_1_22.corrected.fastq,reckoner,22,415,5051,230664,1182,1634,375,544,239321,41392,47237965,2227695,1744,3678,1223,913,12499,49527109,Reckoner,NA,100,0.018241698,0.894130862,0.016081799,0.954856698,IGH,0.000270801,13.69003286,2
168,reckoner_mix_2_err_rate_1_24.corrected.fastq,reckoner,24,416,5051,230616,1176,1670,392,562,239321,42141,47238002,2226953,1748,3638,1243,917,12493,49527135,Reckoner,NA,100,0.01857173,0.896197525,0.016420651,0.954871955,IGH,0.000270761,13.62377317,2
169,reckoner_mix_2_err_rate_1_26.corrected.fastq,reckoner,26,424,5049,230515,1181,1764,388,602,239321,42881,47237952,2225952,1752,3733,1100,990,12707,49527067,Reckoner,NA,100,0.018900025,0.898708974,0.016769855,0.954891328,IGH,0.000276556,12.83535354,2
170,reckoner_mix_2_err_rate_1_28.corrected.fastq,reckoner,28,441,5049,230417,1179,1871,364,643,239321,43648,47237804,2225138,1790,3790,1173,1102,12709,49527154,Reckoner,NA,100,0.019238483,0.897903767,0.017050969,0.954902191,IGH,0.000278857,11.53266788,2
171,reckoner_mix_2_err_rate_1_30.corrected.fastq,reckoner,30,448,5048,230315,1192,1940,378,669,239321,44667,47237620,2224086,1827,3849,1165,1208,12713,49527135,Reckoner,NA,100,0.019687908,0.899076106,0.017477883,0.954919498,IGH,0.000281078,10.52400662,2
172,reckoner_mix_3_err_rate_1_20.corrected.fastq,reckoner,20,484,7269,415869,2059,2493,745,843,428919,59443,85864233,4177115,3306,6958,1914,1593,27192,90141754,Reckoner,NA,100,0.014030966,0.870131011,0.011936813,0.953493798,IGH,0.00031933,17.06967985,3
173,reckoner_mix_3_err_rate_1_22.corrected.fastq,reckoner,22,510,7269,415707,2061,2635,737,890,428919,61335,85864545,4174965,3206,6649,1985,1559,27521,90141765,Reckoner,NA,100,0.014478436,0.876602495,0.012440337,0.953521621,IGH,0.000322603,17.65298268,3
174,reckoner_mix_3_err_rate_1_24.corrected.fastq,reckoner,24,528,7269,415475,2106,2784,757,951,428919,62863,85864567,4173393,3265,6702,1804,1581,27508,90141683,Reckoner,NA,100,0.014839283,0.880816601,0.012831378,0.953539551,IGH,0.000322703,17.39911448,3
175,reckoner_mix_3_err_rate_1_26.corrected.fastq,reckoner,26,547,7266,415283,2109,2952,762,962,428919,64097,85864617,4171648,3275,6677,1812,1577,27966,90141669,Reckoner,NA,100,0.015132403,0.883049073,0.013128269,0.953558794,IGH,0.00032774,17.73367153,3
176,reckoner_mix_3_err_rate_1_28.corrected.fastq,reckoner,28,554,7266,415075,2157,3152,715,1012,428919,65829,85864452,4169765,3377,6733,1974,1709,27991,90141830,Reckoner,NA,100,0.015541858,0.883183965,0.013486184,0.953574744,IGH,0.000329481,16.37858397,3
177,reckoner_mix_3_err_rate_1_30.corrected.fastq,reckoner,30,578,7266,414860,2161,3320,734,1080,428919,67857,85864043,4167712,3395,7078,1907,1832,27997,90141821,Reckoner,NA,100,0.016020752,0.883071758,0.013899431,0.953592869,IGH,0.000330912,15.28220524,3
178,reckoner_mix_4_err_rate_1_20.corrected.fastq,reckoner,20,578,10424,612048,2748,3346,999,1000,630143,72920,126529151,5967967,4712,8959,2485,1776,33839,132621809,Reckoner,NA,100,0.012071075,0.864349723,0.010176651,0.954853378,IGH,0.000268546,19.05349099,4
179,reckoner_mix_4_err_rate_1_22.corrected.fastq,reckoner,22,608,10423,611830,2770,3484,1028,1076,630143,75830,126529163,5965135,4641,8847,2771,1855,33769,132622011,Reckoner,NA,100,0.01255263,0.867143903,0.010629428,0.954873457,IGH,0.000268613,18.20431267,4
180,reckoner_mix_4_err_rate_1_24.corrected.fastq,reckoner,24,637,10423,611535,2856,3714,978,1189,630143,78570,126529139,5962301,4777,8840,2527,2063,33749,132621966,Reckoner,NA,100,0.013006403,0.873611528,0.01112472,0.954894122,IGH,0.000270031,16.35918565,4
181,reckoner_mix_4_err_rate_1_26.corrected.fastq,reckoner,26,665,10420,611371,2873,3861,953,1246,630143,81298,126529230,5959434,4764,8780,2566,2061,33873,132622006,Reckoner,NA,100,0.013458303,0.877531195,0.011580054,0.954915988,IGH,0.000270951,16.43522562,4
182,reckoner_mix_4_err_rate_1_28.corrected.fastq,reckoner,28,685,10420,611039,2961,4061,977,1283,630143,84323,126529029,5956158,4831,8914,2581,2196,34048,132622080,Reckoner,NA,100,0.01395965,0.880032979,0.012056656,0.954938014,IGH,0.000273288,15.50455373,4
183,reckoner_mix_4_err_rate_1_30.corrected.fastq,reckoner,30,710,10420,610777,2983,4243,1010,1339,630143,87126,126528828,5953149,4814,9097,2482,2297,34262,132622055,Reckoner,NA,100,0.014424178,0.882690846,0.012507212,0.95495936,IGH,0.000275663,14.91597736,4
184,reckoner_mix_5_err_rate_1_20.corrected.fastq,reckoner,20,2467,38776,657271,2918,3523,1227,1061,706182,78810,142836559,6139467,5052,10015,3197,1901,34307,149109308,Reckoner,NA,100,0.012673929,0.856425637,0.010549224,0.958680986,IGH,0.000242829,18.04681746,5
185,reckoner_mix_5_err_rate_1_22.corrected.fastq,reckoner,22,2619,38775,656948,2954,3699,1187,1183,706182,82642,142836561,6136147,5038,9905,3256,2118,33772,149109439,Reckoner,NA,100,0.013289082,0.862624344,0.011172754,0.958702422,IGH,0.000240696,15.94523135,5
186,reckoner_mix_5_err_rate_1_24.corrected.fastq,reckoner,24,2795,38775,656497,3002,4005,1108,1285,706182,85498,142836516,6133160,5110,9935,3060,2281,33830,149109390,Reckoner,NA,100,0.013748626,0.86806169,0.011658946,0.958721966,IGH,0.000242178,14.83121438,5
187,reckoner_mix_5_err_rate_1_26.corrected.fastq,reckoner,26,2953,38772,656097,3034,4195,1131,1355,706182,88864,142836349,6129688,5143,10005,3043,2339,33902,149109333,Reckoner,NA,100,0.014290143,0.871967972,0.012191906,0.958744255,IGH,0.00024305,14.4942283,5
188,reckoner_mix_5_err_rate_1_28.corrected.fastq,reckoner,28,3094,38772,655686,3116,4379,1135,1416,706182,92294,142835997,6126005,5209,10173,3243,2523,34057,149109501,Reckoner,NA,100,0.014842323,0.873086747,0.012684819,0.958764818,IGH,0.000245323,13.49861276,5
189,reckoner_mix_5_err_rate_1_30.corrected.fastq,reckoner,30,3244,38771,655273,3141,4614,1139,1495,706182,95599,142835853,6122531,5143,10476,2970,2556,34277,149109405,Reckoner,NA,100,0.015374236,0.876693108,0.01321185,0.958788055,IGH,0.00024702,13.41040689,5
190,sga_mix_1_err_rate_1_20.corrected.fastq,sga,20,35,2580,151761,138,387,938,881,155839,6365,30415702,1652854,2134,32326,66500,42968,12160,32231009,Sga,NA,100,0.003836142,0.060508979,-0.055725615,0.944231962,IGH,0.001710403,0.283001303,1
191,sga_mix_1_err_rate_1_22.corrected.fastq,sga,22,40,2580,151724,142,415,938,882,155839,6675,30415679,1652535,2140,32371,66475,42953,12160,32230988,Sga,NA,100,0.004022999,0.063257551,-0.055551136,0.944241485,IGH,0.001709938,0.283100133,1
192,sga_mix_1_err_rate_1_24.corrected.fastq,sga,24,47,2580,151669,146,459,938,882,155839,6995,30415623,1652209,2144,32438,66452,42953,12160,32230974,Sga,NA,100,0.004215877,0.066062237,-0.055384992,0.944250089,IGH,0.001709939,0.283100133,1
193,sga_mix_1_err_rate_1_26.corrected.fastq,sga,26,51,2580,151625,149,494,940,884,155839,7187,30415588,1652012,2149,32473,66448,42955,12160,32230972,Sga,NA,100,0.004331608,0.067732876,-0.055288124,0.944255021,IGH,0.001710001,0.283086951,1
194,sga_mix_1_err_rate_1_28.corrected.fastq,sga,28,55,2580,151577,156,531,940,887,155839,7311,30415519,1651877,2160,32542,66432,42968,12162,32230971,Sga,NA,100,0.004406372,0.068786753,-0.055245698,0.944256816,IGH,0.001710467,0.28304785,1
195,sga_mix_1_err_rate_1_30.corrected.fastq,sga,30,57,2580,151534,156,568,944,889,155839,7548,30415470,1651644,2158,32594,66440,42951,12159,32230964,Sga,NA,100,0.004549202,0.070818712,-0.055138887,0.944262768,IGH,0.001709846,0.283090033,1
196,sga_mix_2_err_rate_1_20.corrected.fastq,sga,20,41,4301,231208,166,399,1153,1078,237268,8405,47026634,2248756,2520,39327,81955,52128,14958,49474683,Sga,NA,100,0.003723704,0.064809888,-0.050008396,0.950976557,IGH,0.001355966,0.286947514,2
197,sga_mix_2_err_rate_1_22.corrected.fastq,sga,22,51,4301,231153,176,433,1154,1082,237268,8757,47026605,2248378,2541,39357,81979,52114,14958,49474689,Sga,NA,100,0.003879697,0.067313384,-0.049876946,0.950982972,IGH,0.001355683,0.2870246,2
198,sga_mix_2_err_rate_1_24.corrected.fastq,sga,24,57,4301,231069,188,499,1154,1082,237268,9291,47026499,2247837,2554,39445,82002,52109,14959,49474696,Sga,NA,100,0.004116293,0.071065796,-0.049689694,0.950991511,IGH,0.001355602,0.287071331,2
199,sga_mix_2_err_rate_1_26.corrected.fastq,sga,26,63,4301,230989,190,567,1158,1085,237268,9708,47026396,2247425,2558,39565,81959,52111,14950,49474672,Sga,NA,100,0.004301031,0.07397586,-0.049538951,0.950998148,IGH,0.001355461,0.286887605,2
200,sga_mix_2_err_rate_1_28.corrected.fastq,sga,28,67,4301,230937,196,610,1157,1089,237268,9928,47026324,2247196,2571,39642,81958,52097,14948,49474664,Sga,NA,100,0.004398518,0.075482027,-0.04947535,0.951001255,IGH,0.001355138,0.286926311,2
201,sga_mix_2_err_rate_1_30.corrected.fastq,sga,30,74,4301,230890,203,644,1156,1088,237268,10244,47026295,2246880,2572,39692,81913,52100,14946,49474642,Sga,NA,100,0.004538519,0.077694939,-0.049337564,0.951007443,IGH,0.001355159,0.286871401,2
202,sga_mix_3_err_rate_1_20.corrected.fastq,sga,20,36,6219,417059,274,531,1731,1596,425850,12374,85531422,4206040,3713,57933,124299,78740,31892,90046413,Sga,NA,100,0.00293333,0.063584884,-0.040265844,0.950333291,IGH,0.001228611,0.40502921,3
