,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,Complexity
36,fiona_wgsim_rl_100_cov_16.1_46709983.corrected.fastq,fiona,46709983,12843,20344,84,20,330,43,20,33664,16403,3349156,171,45,575,63,21,0,3366434,Fiona,16,100L,0.989682635,0.962560883,0.951188609,0.999740081,IGH,6.24E-06,0,low
37,fiona_wgsim_rl_100_cov_16.1_46709983.corrected.fastq,fiona,46709983,1059465,1653319,4299,1229,23230,2060,1122,2743602,1358913,272946886,9566,3526,38841,2882,1134,20,274361768,Fiona,16,100L,0.993009758,0.97021139,0.962521164,0.999796076,IGH,4.21E-06,0.017636684,normal
38,fiona_wgsim_rl_100_cov_32.1_46709983.corrected.fastq,fiona,46709983,26133,41146,203,42,310,89,48,67923,33394,6757478,389,148,772,138,48,1,6792368,Fiona,32,100L,0.988485333,0.973472481,0.961548708,0.9997799,IGH,7.21E-06,0.020833333,low
39,fiona_wgsim_rl_100_cov_32.1_46709983.corrected.fastq,fiona,46709983,2126134,3321964,9069,2741,19273,3948,2897,5483129,2711707,545520446,20156,7300,47785,5469,2929,49,548315841,Fiona,32,100L,0.992621885,0.980739692,0.973128228,0.999847462,IGH,5.43E-06,0.016729259,normal
40,lighter_wgsim_rl_100_cov_16.1_20.corrected.fastq,lighter,20,12069,20082,773,6,734,0,0,33664,15575,3348732,1035,9,1049,0,0,0,3366400,Lighter,16,100L,0.93768814,0.93689846,0.874533414,0.999378268,IGH,0,,low
41,lighter_wgsim_rl_100_cov_16.1_20.corrected.fastq,lighter,20,1006216,1638325,53342,206,45504,9,4,2743602,1303239,272931174,68410,376,56993,13,4,0,274360209,Lighter,16,100L,0.950125725,0.958091373,0.90856553,0.999541493,IGH,1.46E-08,0,normal
42,lighter_wgsim_rl_100_cov_16.1_26.corrected.fastq,lighter,26,12704,20282,314,6,358,0,0,33664,16205,3349370,408,6,411,0,0,0,3366400,Lighter,16,100L,0.97544092,0.975264805,0.950701258,0.999754931,IGH,0,,low
43,lighter_wgsim_rl_100_cov_16.1_26.corrected.fastq,lighter,26,1047330,1648942,21797,170,25357,6,4,2743602,1342298,272958300,29468,259,29870,7,4,0,274360206,Lighter,16,100L,0.978518202,0.978226538,0.956738248,0.999782738,IGH,1.46E-08,0,normal
44,lighter_wgsim_rl_100_cov_16.1_30.corrected.fastq,lighter,30,12538,20246,448,5,427,0,0,33664,16051,3349270,562,6,511,0,0,0,3366400,Lighter,16,100L,0.966171071,0.969146238,0.935412027,0.99967948,IGH,0,,low
45,lighter_wgsim_rl_100_cov_16.1_30.corrected.fastq,lighter,30,1034439,1645102,33260,194,30604,3,0,2743602,1330366,272952654,41367,292,35520,4,0,0,274360203,Lighter,16,100L,0.969843257,0.973992049,0.943946089,0.99971868,IGH,0,,normal
46,lighter_wgsim_rl_100_cov_32.1_20.corrected.fastq,lighter,20,25445,41145,1002,6,325,0,0,67923,32407,6757816,1516,9,552,0,0,0,6792300,Lighter,32,100L,0.955310556,0.983251919,0.939038411,0.999694213,IGH,0,,low
47,lighter_wgsim_rl_100_cov_32.1_20.corrected.fastq,lighter,20,2102996,3321802,44468,146,13706,11,2,5483129,2673799,545552848,65089,324,20832,17,2,0,548312911,Lighter,32,100L,0.976235246,0.992262811,0.968623032,0.999842674,IGH,3.65E-09,0,normal
48,lighter_wgsim_rl_100_cov_32.1_26.corrected.fastq,lighter,26,26208,41148,431,2,134,0,0,67923,33282,6758143,647,3,225,0,0,0,6792300,Lighter,32,100L,0.980930767,0.993284985,0.974299272,0.999871178,IGH,0,,low
49,lighter_wgsim_rl_100_cov_32.1_26.corrected.fastq,lighter,26,2127063,3322042,24804,72,9140,8,3,5483129,2701280,545558553,37735,197,15131,9,3,0,548312908,Lighter,32,100L,0.98622315,0.994426488,0.980695615,0.999903203,IGH,5.47E-09,0,normal
50,lighter_wgsim_rl_100_cov_32.1_30.corrected.fastq,lighter,30,26392,41144,281,0,106,0,0,67923,33489,6758181,441,2,187,0,0,0,6792300,Lighter,32,100L,0.987002653,0.994447084,0.981491306,0.999907248,IGH,0,,low
51,lighter_wgsim_rl_100_cov_32.1_30.corrected.fastq,lighter,30,2135736,3321795,17930,59,7605,4,0,5483129,2711058,545560366,27985,169,13320,6,0,0,548312904,Lighter,32,100L,0.989782928,0.995108619,0.984917725,0.99992435,IGH,0,,normal
52,musket_wgsim_rl_100_cov_16.1_20.corrected.fastq,musket,20,11544,19916,1072,33,224,0,0,32789,14864,3262457,1258,38,283,0,0,0,3278900,Musket,16,100L,0.921969979,0.981316432,0.904416326,0.999518436,IGH,0,,low
53,musket_wgsim_rl_100_cov_16.1_20.corrected.fastq,musket,20,1003038,1615277,40697,819,13135,3,2,2672969,1285939,265945228,49649,989,15091,5,3,0,267296904,Musket,16,100L,0.962826111,0.98839693,0.951523224,0.999754067,IGH,1.12E-08,0,normal
54,musket_wgsim_rl_100_cov_16.1_26.corrected.fastq,musket,26,11973,19316,381,15,144,0,0,31829,15263,3166993,448,16,180,0,0,0,3182900,Musket,16,100L,0.971484947,0.988344234,0.960028006,0.999797669,IGH,0,,low
55,musket_wgsim_rl_100_cov_16.1_26.corrected.fastq,musket,26,996448,1569319,19586,563,9390,3,1,2595309,1273472,258222041,24104,661,10618,6,2,0,259530904,Musket,16,100L,0.981423824,0.991726475,0.97323625,0.999863635,IGH,7.71E-09,0,normal
56,musket_wgsim_rl_100_cov_16.1_30.corrected.fastq,musket,30,12104,19460,337,13,145,0,0,32059,15425,3189885,403,16,171,0,0,0,3205900,Musket,16,100L,0.974538792,0.98903565,0.963735153,0.999815964,IGH,0,,low
57,musket_wgsim_rl_100_cov_16.1_30.corrected.fastq,musket,30,1003066,1577682,18004,545,9919,2,1,2609218,1282022,259605714,22260,647,11154,4,2,0,260921803,Musket,16,100L,0.982933139,0.991371657,0.97437824,0.999869436,IGH,7.67E-09,0,normal
58,musket_wgsim_rl_100_cov_32.1_20.corrected.fastq,musket,20,23134,39595,2207,43,299,0,0,65278,29827,6494831,2664,56,422,0,0,0,6527800,Musket,32,100L,0.918008064,0.986049126,0.905019852,0.999518674,IGH,0,,low
59,musket_wgsim_rl_100_cov_32.1_20.corrected.fastq,musket,20,1988005,3198549,79353,1728,12306,0,0,5279941,2538838,525341041,96978,1990,15253,0,0,0,527994100,Musket,32,100L,0.963207599,0.994028012,0.957420776,0.99978367,IGH,0,,normal
60,musket_wgsim_rl_100_cov_32.1_26.corrected.fastq,musket,26,23694,37892,715,20,158,0,0,62479,30262,6216532,866,26,214,0,0,0,6247900,Musket,32,100L,0.972179388,0.992978081,0.965304549,0.999822981,IGH,0,,low
61,musket_wgsim_rl_100_cov_32.1_26.corrected.fastq,musket,26,1944163,3060334,36326,1224,9343,2,1,5051392,2476865,502604497,44955,1409,11472,3,1,0,505139202,Musket,32,100L,0.982173589,0.995388492,0.977623304,0.999885497,IGH,1.98E-09,0,normal
62,musket_wgsim_rl_100_cov_32.1_30.corrected.fastq,musket,30,24866,39472,667,21,158,0,0,65184,31702,6485644,809,27,218,0,0,0,6518400,Musket,32,100L,0.975116115,0.993170426,0.968410692,0.999838304,IGH,0,,low
63,musket_wgsim_rl_100_cov_32.1_30.corrected.fastq,musket,30,2028611,3186138,34156,1225,9932,3,0,5260065,2583897,523366444,42551,1433,12174,4,0,0,526006503,Musket,32,100L,0.983799032,0.995309072,0.979162352,0.999893229,IGH,0,,normal
64,pollux_wgsim_rl_100_cov_16.1_20.corrected.fastq,pollux,20,8879,17989,2682,4,1094,2972,225,33620,12553,3300177,3767,273,35349,14438,858,4,3367419,Pollux,16,100L,0.769178922,0.201363491,-2.281495098,0.98376054,IGH,0.000255982,0.004662005,low
65,pollux_wgsim_rl_100_cov_16.1_20.corrected.fastq,pollux,20,934860,1586372,94240,418,61415,63489,1341,2740794,1235509,272162394,129611,5496,444016,232068,3846,27,274212967,Pollux,16,100L,0.905055233,0.646324296,0.409799139,0.997027722,IGH,1.41E-05,0.007020281,normal
66,pollux_wgsim_rl_100_cov_16.1_26.corrected.fastq,pollux,26,10496,18461,1260,10,989,1873,144,33089,14288,3267212,1883,167,19770,7548,557,1,3311426,Pollux,16,100L,0.883556985,0.343412008,-0.805763404,0.990963105,IGH,0.000168507,0.001795332,low
67,pollux_wgsim_rl_100_cov_16.1_26.corrected.fastq,pollux,26,954548,1571582,63359,508,55619,45964,847,2691580,1252071,267442555,89309,4239,307470,148725,2284,16,269246669,Pollux,16,100L,0.93342006,0.732948499,0.593326276,0.997949735,IGH,8.54E-06,0.007005254,normal
68,pollux_wgsim_rl_100_cov_16.1_30.corrected.fastq,pollux,30,10935,18589,931,8,882,1340,82,32685,14597,3236962,1447,96,12126,5066,313,1,3270608,Pollux,16,100L,0.909810521,0.459183994,-0.161742708,0.994176005,IGH,9.60E-05,0.003194888,low
69,pollux_wgsim_rl_100_cov_16.1_30.corrected.fastq,pollux,30,951943,1557285,56411,538,53042,40416,705,2659635,1244058,264322119,81877,3644,262411,149731,1845,13,266065698,Pollux,16,100L,0.938249613,0.751152035,0.627418388,0.998122614,IGH,6.98E-06,0.00704607,normal
70,pollux_wgsim_rl_100_cov_32.1_20.corrected.fastq,pollux,20,18138,36306,5540,12,2031,5714,409,67741,25583,6651324,7683,555,70100,29626,1570,12,6786453,Pollux,32,100L,0.769043468,0.204159318,-2.22879216,0.983859876,IGH,0.000233111,0.007643312,low
71,pollux_wgsim_rl_100_cov_32.1_20.corrected.fastq,pollux,20,1870165,3173948,187438,871,110286,125223,2732,5467931,2464121,542987546,256401,10935,869377,447563,8021,81,547044045,Pollux,32,100L,0.905753014,0.651700938,0.421676796,0.997089271,IGH,1.48E-05,0.010098491,normal
72,pollux_wgsim_rl_100_cov_32.1_26.corrected.fastq,pollux,26,21457,37073,2578,7,1715,3391,257,66221,29040,6541141,3749,304,37515,14264,965,10,6626988,Pollux,32,100L,0.885662875,0.359321447,-0.69349477,0.991429427,IGH,0.000147126,0.010362694,low
73,pollux_wgsim_rl_100_cov_32.1_26.corrected.fastq,pollux,26,1908521,3132817,121556,790,95128,90750,1699,5349562,2493147,531561038,171022,8281,599601,293176,4522,42,535130829,Pollux,32,100L,0.935806625,0.736326923,0.600701382,0.997988152,IGH,8.53E-06,0.009287926,normal
74,pollux_wgsim_rl_100_cov_32.1_30.corrected.fastq,pollux,30,22128,36844,1735,8,1449,2417,150,64581,29462,6397900,2664,196,21914,9821,488,1,6462446,Pollux,32,100L,0.917076511,0.481428828,-0.070752661,0.99457125,IGH,7.57E-05,0.00204918,low
75,pollux_wgsim_rl_100_cov_32.1_30.corrected.fastq,pollux,30,1883662,3063982,101882,761,84100,78173,1453,5212560,2449585,518055083,147253,6863,495812,294253,3919,39,521452807,Pollux,32,100L,0.943295269,0.756126433,0.639054111,0.99818181,IGH,7.59E-06,0.009951518,normal
76,racer_wgsim_rl_100_cov_16.1_46709983.corrected.fastq,racer,46709983,12504,20248,157,2,591,155,57,33657,16094,3342650,484,40,5391,1777,317,0,3366753,Racer,16,100L,0.970804681,0.691857966,0.538424418,0.99762115,IGH,9.42E-05,0,low
77,racer_wgsim_rl_100_cov_16.1_46709983.corrected.fastq,racer,46709983,1045746,1644985,7816,138,39125,5237,1650,2743047,1346687,272738561,23504,1537,165492,50674,7563,37,274334055,Racer,16,100L,0.982846187,0.861685008,0.82508278,0.999093186,IGH,2.77E-05,0.004892239,normal
78,racer_wgsim_rl_100_cov_32.1_46709983.corrected.fastq,racer,46709983,25636,41101,315,1,569,301,96,67923,32794,6746558,1031,101,9473,4122,585,6,6794670,Racer,32,100L,0.969519586,0.706934834,0.567597931,0.997746467,IGH,8.70E-05,0.01025641,low
79,racer_wgsim_rl_100_cov_32.1_46709983.corrected.fastq,racer,46709983,2109347,3318898,16081,69,29342,9392,2875,5483129,2689461,545270274,46979,2688,251296,91831,13312,84,548365925,Racer,32,100L,0.982832074,0.886853407,0.857440324,0.999259425,IGH,2.44E-05,0.006310096,normal
80,reckoner_wgsim_rl_100_cov_16.1_20.corrected.fastq,reckoner,20,12391,20437,390,38,293,115,27,33664,15675,3345692,867,77,3404,1237,143,0,3367095,Reckoner,16,100L,0.947587958,0.771559362,0.66702938,0.99829883,IGH,4.25E-05,0,low
81,reckoner_wgsim_rl_100_cov_16.1_20.corrected.fastq,reckoner,20,1045946,1659560,19832,1210,13277,3777,1154,2743602,1330522,272870656,39524,1935,98004,34131,5190,45,274380007,Reckoner,16,100L,0.971151334,0.90966098,0.874705667,0.999348407,IGH,1.91E-05,0.00867052,normal
82,reckoner_wgsim_rl_100_cov_16.1_26.corrected.fastq,reckoner,26,12786,20450,262,25,105,36,13,33664,16128,3348554,459,31,1049,297,62,1,3366581,Reckoner,16,100L,0.972327727,0.922971272,0.89117984,0.999436223,IGH,1.87E-05,0.016129032,low
83,reckoner_wgsim_rl_100_cov_16.1_26.corrected.fastq,reckoner,26,1057662,1660639,15215,854,7169,2063,755,2743602,1343543,272931133,27179,1286,47596,16079,2969,18,274369803,Reckoner,16,100L,0.980171763,0.954751147,0.933718143,0.999653355,IGH,1.09E-05,0.006062647,normal
84,reckoner_wgsim_rl_100_cov_16.1_30.corrected.fastq,reckoner,30,12838,20444,245,17,91,29,13,33664,16179,3348842,416,23,794,232,60,1,3366547,Reckoner,16,100L,0.974932208,0.940366173,0.913106357,0.999547013,IGH,1.81E-05,0.016666667,low
85,reckoner_wgsim_rl_100_cov_16.1_30.corrected.fastq,reckoner,30,1060027,1660316,14928,732,6103,1496,611,2743602,1346473,272947423,24478,1061,34377,10666,2190,14,274366682,Reckoner,16,100L,0.982145241,0.967630268,0.949289945,0.999734764,IGH,8.03E-06,0.006392694,normal
86,reckoner_wgsim_rl_100_cov_32.1_20.corrected.fastq,reckoner,20,25166,41151,774,63,560,209,54,67923,32017,6750757,1798,116,6594,1831,221,1,6793335,Reckoner,32,100L,0.946828331,0.791676969,0.697678545,0.998445535,IGH,3.27E-05,0.004524887,low
87,reckoner_wgsim_rl_100_cov_32.1_20.corrected.fastq,reckoner,20,2097089,3322522,34270,2379,19840,7029,2105,5483129,2663748,545363358,71615,3792,175265,61768,8907,57,548348510,Reckoner,32,100L,0.973818831,0.918286489,0.887163788,0.999413973,IGH,1.63E-05,0.006399461,normal
88,reckoner_wgsim_rl_100_cov_32.1_26.corrected.fastq,reckoner,26,26140,41148,294,32,231,78,23,67923,33174,6755900,710,47,2104,621,112,1,6792669,Reckoner,32,100L,0.979046157,0.924092593,0.89862472,0.9994709,IGH,1.66E-05,0.008928571,low
89,reckoner_wgsim_rl_100_cov_32.1_26.corrected.fastq,reckoner,26,2123970,3322396,18806,1810,12139,4008,1479,5483129,2696056,545462268,40448,2666,93055,30988,6064,42,548331587,Reckoner,32,100L,0.985219097,0.956014665,0.939890093,0.999684094,IGH,1.11E-05,0.006926121,normal
90,reckoner_wgsim_rl_100_cov_32.1_30.corrected.fastq,reckoner,30,26340,41148,187,26,163,59,20,67923,33414,6756492,478,39,1581,494,103,1,6792602,Reckoner,32,100L,0.985896377,0.941531179,0.924672489,0.999603245,IGH,1.53E-05,0.009708738,low
91,reckoner_wgsim_rl_100_cov_32.1_30.corrected.fastq,reckoner,30,2133644,3322242,13561,1578,9147,2957,1201,5483129,2707130,545494310,29765,2280,66401,21557,4693,37,548326173,Reckoner,32,100L,0.989124537,0.968531223,0.956986658,0.999772588,IGH,8.63E-06,0.007884083,normal
92,sga_wgsim_rl_100_cov_16.1_20.corrected.fastq,sga,20,11298,20461,1577,3,315,10,5,33664,14426,3348858,2176,17,906,27,7,0,3366417,Sga,16,100L,0.868931454,0.939253858,0.812733406,0.999069337,IGH,2.08E-06,0,low
93,sga_wgsim_rl_100_cov_16.1_20.corrected.fastq,sga,20,1013876,1661330,55728,130,12050,488,214,2743602,1292956,272955669,78510,553,31471,1646,474,6,274361285,Sga,16,100L,0.942754687,0.975026262,0.918607534,0.999589395,IGH,1.75E-06,0.012658228,normal
