,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Trim Percent,Trim Efficiency,Sample,Total Reads,Tool,Kmer Size
26,bless_sample_SRR1543965_1_28.corrected.fastq,run.bless.sh,28,59041,610722,43798,83,2465,1994,47696,718103,114952,167216126,115015,1188,49391,90521,3279731,53081,170920005,Bless,NA,100,0.499863024,0.451032708,-0.108537312,0.979306434,0.019499251,0.016184559,SRR1543965,718103,Bless,28
27,bless_sample_SRR1543965_1_30.corrected.fastq,run.bless.sh,30,59152,612319,42006,75,2589,1962,49117,718103,115736,167163177,111909,1240,48317,87620,3337042,55356,170920397,Bless,NA,100,0.508405632,0.459866573,-0.088739045,0.979011927,0.019847824,0.016588344,SRR1543965,718103,Bless,30
70,coral_sample_SRR1543965_1_20.corrected.fastq,run.coral.sh,20,16890,595891,100485,20,2258,2559,632,718103,40116,170619729,243046,70,7567,6410,496,608,170918042,Coral,NA,100,0.141671552,0.741611669,0.092311115,0.998492904,6.46E-06,1.225806452,SRR1543965,718103,Coral,20
71,coral_sample_SRR1543965_1_22.corrected.fastq,run.coral.sh,22,19692,595669,97519,19,2370,2834,646,718103,45397,170619533,237752,79,7620,6452,515,609,170917957,Coral,NA,100,0.160329014,0.763372513,0.110630799,0.998523158,6.58E-06,1.182524272,SRR1543965,718103,Coral,22
72,coral_sample_SRR1543965_1_24.corrected.fastq,run.coral.sh,24,21908,595792,95325,25,2295,2758,550,718103,49173,170618572,233963,95,8031,6589,333,607,170917363,Coral,NA,100,0.173672723,0.77082125,0.12203676,0.998543086,5.50E-06,1.822822823,SRR1543965,718103,Coral,24
73,coral_sample_SRR1543965_1_26.corrected.fastq,run.coral.sh,26,23826,595223,93323,21,2753,2957,645,718103,52766,170615732,230361,97,10097,7220,504,612,170917389,Coral,NA,100,0.186368661,0.752907267,0.125205297,0.998547369,6.53E-06,1.214285714,SRR1543965,718103,Coral,26
74,coral_sample_SRR1543965_1_28.corrected.fastq,run.coral.sh,28,26129,595488,91066,25,2484,2911,621,718103,56248,170617286,226897,85,8891,7120,471,613,170917611,Coral,NA,100,0.1986544,0.778422065,0.142107401,0.998575542,6.34E-06,1.3014862,SRR1543965,718103,Coral,28
75,coral_sample_SRR1543965_1_30.corrected.fastq,run.coral.sh,30,28642,594643,88381,23,2956,3458,626,718103,60988,170612477,222147,92,13318,8144,485,613,170918264,Coral,NA,100,0.215402546,0.739696786,0.13960125,0.998571324,6.42E-06,1.263917526,SRR1543965,718103,Coral,30
1,fiona_sample_SRR1543965_1_0.corrected.fastq,run.fiona.sh,0,40026,283106,13150,1483,7455,14174,357,359394,96699,85339148,42315,1783,44593,30562,218,357,85555675,Fiona,NA,100,0.695606198,0.562681113,0.154977197,0.998603582,6.72E-06,1.637614679,SRR1543965,359394,Fiona,0
118,lighter_sample_SRR1543965_1_20.corrected.fastq,run.lighter.sh,20,68088,589965,47741,97,12071,141,261,718103,163497,170607788,119763,190,22462,153,0,579,170914432,Lighter,NA,100,0.577197628,0.878487148,0.497359317,0.999165849,3.39E-06,inf,SRR1543965,718103,Lighter,20
119,lighter_sample_SRR1543965_1_22.corrected.fastq,run.lighter.sh,22,68502,592108,47613,192,9504,184,253,718103,162650,170612147,120540,319,17953,235,0,561,170914405,Lighter,NA,100,0.574349377,0.899423794,0.510123945,0.99918645,3.28E-06,inf,SRR1543965,718103,Lighter,22
120,lighter_sample_SRR1543965_1_24.corrected.fastq,run.lighter.sh,24,72167,591606,44095,75,9979,181,264,718103,165789,170611375,117492,154,18850,191,0,583,170914434,Lighter,NA,100,0.585245745,0.89698101,0.518029801,0.999200258,3.41E-06,inf,SRR1543965,718103,Lighter,24
121,lighter_sample_SRR1543965_1_26.corrected.fastq,run.lighter.sh,26,72523,592571,43816,195,8830,168,261,718103,165418,170612867,117765,291,17317,199,0,580,170914437,Lighter,NA,100,0.584138172,0.90424962,0.522284177,0.999206782,3.39E-06,inf,SRR1543965,718103,Lighter,26
122,lighter_sample_SRR1543965_1_28.corrected.fastq,run.lighter.sh,28,73994,592458,42643,115,8742,151,266,718103,166624,170612909,116653,194,17323,164,0,585,170914452,Lighter,NA,100,0.588201654,0.905019255,0.526470557,0.999214025,3.42E-06,inf,SRR1543965,718103,Lighter,28
123,lighter_sample_SRR1543965_1_30.corrected.fastq,run.lighter.sh,30,74311,593315,42183,137,7978,179,264,718103,166502,170615572,116736,210,14663,189,0,583,170914455,Lighter,NA,100,0.587851913,0.918104922,0.535415446,0.999228863,3.41E-06,inf,SRR1543965,718103,Lighter,30
166,musket_sample_SRR1543965_1_20.corrected.fastq,run.musket.sh,20,0,599280,118823,0,0,0,276,718103,0,170630590,283239,0,0,0,0,594,170914423,Musket,NA,100,0,inf,0,0.998342796,3.48E-06,inf,SRR1543965,718103,Musket,20
